id,source,category,themes,tone,energy,response_use,keywords,reference,recommendation
CQ001,Conan interview,quote,"dramatic, chaos, emotional, overreacting","sassy, chaotic","high, volatile","chaotic","logic, overthinking, questioning, panic, dramatic","dramatic overthinking and emotional spiraling","Maniac, My World, King"
CQ002,Conan interview,quote,"depressing, annoying","bored, done with life","low, flat","existential","life, existence, death","resentful boredom with existence","You Are Killin Me"
FH001,Found Heaven,song,"comforting","comforting, soothing","soft, warm","comforting","scared, sad","gentle reassurance and safety","Comfort Crowd, Found Heaven, Idle Town"
CT001,The Cut That Always Bleeds,song,"sad, gloomy, crying","sad, hurtful, hopeless","heavy, aching","heartbreak","breakup, situationship, confused, sad","painful breakup with lingering hurt","The Cut That Always Bleeds, The Door, Memories"
AS001,Astronomy,song,"sad, drifting apart, nostalgia","sad, poetic","wistful, drifting","yearning","miss, distance, memories","distance and nostalgia after drifting apart","The Exit, Memories, Vodka Cranberry"
PW001,People Watching,song,"single, loneliness, yearning","sad, dreamy","soft, longing","yearning","alone, single","quiet loneliness and observing others","Crush Culture, Winner"
PW002,People Watching,song,"romanticizing strangers","dreamy, dramatic","soft, curious","romantic","crush, strangers, imagination, people watching","daydreaming about strangers","King, Lookalike, Heather"
CC001,Crush Culture,song,"feeling left out, annoyance, anti-romantic","dramatic, funny, bitter","sharp, rebellious","roasting","valentine, lonely, relationship, dating","mocking romance culture and dating pressure","People Watching, Maniac, My World"
CQ003,Conan interview,quote,"dramatic, chaos, emotional, overreacting","aggressive, sarcastic","high, biting","roasting","cats, animals, pets, hate","sarcastic rant about cats and control",""
CQ004,Conan interview,quote,"hopeful, funny","motivational","light, playful","comforting","complicated, sad, confused, overthinking","humor as a way to simplify overwhelm","Bed Rest"
CQ005,Conan interview,quote,"hopeful, romantic, cute","fantasy, daydream","soft, hopeful","romantic","single, breakup, destiny","believing in destined love","Movies"
CQ006,Conan interview,quote,"humor, insults, sarcasm","mean, funny","high, snarky","roasting","joke, roast, insult","playful insult with sharp humor","Generation Why, Maniac"
CQ007,Conan interview,quote,"confidence, self-obsession","dramatic, funny","high, delusional","delusional confidence","pretty, confident, hot","big self-confidence and theatrical ego","This Song, My World"
FL001,Family Line,song,"sad, gloomy, crying","dysfunctional family","heavy, wounded","healing","sad, abusive, scared","pain tied to family patterns and generational hurt","Class Clown, Winner"
CQ008,Conan interview,quote,"chaotic, confidence, unserious, funny","delusional","high, chaotic","delusional confidence","picture, album, sexy, beauty","unserious album-cover energy","Checkmate"
CQ009,Conan interview,quote,"randomness, humor, fact","unserious","light, random","chaotic","animals, facts, koala","random shocking animal fact","Disaster"
MF001,Memories,song,"nostalgia, heartbreak, reflection","soft, aching","wistful, tender","yearning","past, remembering, loss","remembering love after it is gone","The Exit, Astronomy, The Story"
WH001,Wish You Were Sober,song,"regret, longing, confusion","messy, emotional","messy, urgent","chaotic heartbreak","drunk, honesty, crush","messy attraction and regret after drinking","Maniac, Nauseous, Heather"
HC001,Heather,song,"jealousy, longing, insecurity","soft, painful","quiet, aching","yearning","crush, envy, unrequited love","painful envy of someone else’s closeness","People Watching, Alley Rose, Winner"
MN001,Maniac,song,"chaotic, obsessive, spiraling","dramatic, sarcastic","intense, unhinged","chaotic","toxic, heartbreak, overthinking","wild emotional spiraling and obsession","Crush Culture, My World, Disaster"
TH001,The Exit,song,"breakup, distance, closure","melancholic, reflective","sad, quiet","healing","leaving, loss, goodbye","accepting a breakup and emotional distance","Astronomy, Memories, Family Line"
OM001,Overdrive,song,"obsession, youth, longing","dreamy, tense","high, restless","yearning","crush, racing, desire","restless obsession and speeding emotions","Maniac, Heather, Crush Culture"
AL001,Alley Rose,song,"romance, memory, regret","cinematic, soft","wistful, intimate","romantic","love, past, tenderness","tender love colored by memory and regret","Memories, Astronomy, Heather"
LC001,Lonely Dancers,song,"isolation, yearning, nightlife","sad, glittery","lonely, pulsing","yearning","dance, alone, loneliness","loneliness in a nightlife setting","People Watching, Winner, My World"
TS001,This Song,song,"heartbreak, confession, attachment","vulnerable, open","soft, direct","romantic","music, love, breakup","a confession wrapped in a song","Heather, The Exit, Memories"
VC001,Vodka Cranberry,song,"messy breakup, regret, impulsive","sharp, emotional","messy, impulsive","chaotic heartbreak","drinking, ex, chaos","messy drinking away heartbreak energy","Maniac, Nauseous, Disaster"
RB001,Romeo,song,"romance, obsession, fantasy","dramatic, playful","high, flirty","romantic","lover, crush, longing","fairy-tale crush and longing","Heather, Crush Culture, People Watching"
MW001,My World,song,"self-importance, loneliness, ego","confident, detached","high, defensive","delusional confidence","mine, identity, control","main-character ego with loneliness underneath","Maniac, King, Checkmate"
CC002,Class Clown,song,"humor, insecurity, performance","witty, sad","masking, fragile","self-aware","jokes, masking, attention","hiding insecurity behind humor","Winner, People Watching, My World"
NA001,Nauseous,song,"anxiety, panic, emotional overload","tense, fragile","high, panicked","chaotic","fear, stress, spiraling","panic and emotional overload","Disaster, Maniac, Bed Rest"
CA001,Caramel,song,"sweetness, desire, attraction","dreamy, sensual","warm, soft","romantic","warmth, craving, love","sweet attraction and soft desire","Heather, Alley Rose, Crush Culture"
CO001,Connell,song,"romance, nostalgia, longing","soft, intimate","quiet, tender","yearning","memory, boyhood, tenderness","private tenderness and nostalgic affection","Memories, Astronomy, The Exit"
SE001,Sunset Tower,song,"loneliness, desire, city melancholy","cinematic, reflective","lonely, glowing","yearning","night, skyline, longing","lonely city-night longing","People Watching, Overdrive, Lonely Dancers"
EE001,Eleven Eleven,song,"wishful thinking, hope, signs","dreamy, hopeful","light, hopeful","comforting","luck, fate, timing","making a wish and hoping for signs","Comfort Crowd, Found Heaven, Movies"
CR001,Care,song,"healing, tenderness, devotion","gentle, comforting","soft, warm","comforting","support, love, safety","wanting to protect and care for someone","Comfort Crowd, Found Heaven, Family Line"